POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
201313	411.84	539.02	412.42	554.95	344.89	641.56
224030	441.45	586.94	392.1	647.72	465.26	590.55
127342	292.7	373.34	324.78	353.79	187.54	500.51
179723	360.45	482.86	343.26	515.57	332.75	536.7
223663	484.33	630.43	498.71	636.5	378.98	767.29
254392	468.25	602.31	526.09	566.7	290.36	825.91
300673	570.1	724.93	609.54	711.5	388.1	967.47
184579	362.92	476.84	313.71	544.64	436.78	420.63
630927	1110.27	1500.85	813.8	1859.45	1618.63	1032.11
286997	606.34	774.43	570.83	846.35	587.12	834.14
75853	144.05	190.82	120.09	220.61	183.82	157.35
136795	289.03	377.62	285.77	395.61	269.97	409.84
294531	623.26	811.12	609.95	846.96	599.07	872.81
394253	825.59	1069.27	772.85	1167.18	818.39	1116.1
549850	986.36	1334.54	727.6	1661.1	1356.31	994.35
153675	323.69	416.5	314.06	441.11	305.2	457.57
133071	267.87	347.4	286.72	336.5	185.93	449.05
188412	388.96	503.52	374.94	538.53	382.51	528.5
156039	328.19	421.91	325.08	439.29	289.72	484.99
118607	231.97	293.3	248.48	288.59	169.98	377.65
200143	424.72	557.59	440.38	565.58	363.67	647.15
27271	58.66	75.18	65.12	69.92	33.35	105.22
73773	149.43	191.69	153.36	193.72	124.22	221.64
341614	649.47	848.37	669.72	856.68	497.69	1048.96
393409	780.88	1008.81	807.67	1013.05	621.15	1224.6
1246558	1737.6	2381.17	917.71	3294.94	3014.74	1100.28
392507	806.91	1059.36	791.97	1114.6	650.79	1264.56
298738	488.54	622.11	565.61	566.41	275.63	902.24
382889	723.37	924.65	774.63	906.09	510.71	1202.32
568868	1142.24	1508.95	1017.28	1687.96	1338.79	1371.16
195826	351.88	444.83	401.2	412.99	195.35	650.53
301738	543.86	703.9	606.68	671.94	337.77	968.99
228732	417.89	550.87	461.44	531.5	283.66	719.52
479445	983.7	1285.94	954.17	1373.2	905.01	1433.19
703130	976.75	1346.24	557.84	1828.64	1645.04	697.56
1233145	1709.35	2430.67	624.65	3651.41	3615.19	601.03
246816	491.92	650.43	436.73	732.34	538.69	623.6
414729	613.63	854.22	213.31	1295.39	1222.4	211.3
21951	32.94	44.44	19.14	60.09	59.09	17.1
386983	745.13	1004.57	662.25	1110.66	851.2	947.09
3913316	5707.19	8030.97	2076.31	12048.75	11474.47	2079.07
1893768	2662.61	3764.67	1063	5516.29	5249.53	1062.42
146191	279.91	374.4	283.64	383.67	228.5	445.1
82874	166.75	219.57	166.83	228.6	143.57	251.83
181304	362.54	480.65	344.22	508.38	331.63	527.35
289129	601.69	816.32	551.64	910.71	596.99	865.44
107372	221.91	288.61	233.37	286.37	166.44	356.95
81065	168.69	220.41	193.29	204.16	100.86	306.51
128796	259.63	338.86	267.87	345.16	212.06	398.13
401469	696.61	954.38	478.1	1209.41	979.2	678.25
241075	506.75	682.54	496.21	719.8	443.68	784.53
201272	385.72	496.13	403.72	494.84	283.76	628.25
179224	342.33	451.4	345.33	464.43	269.34	553.67
192542	402.3	527.5	396.46	555.15	367.9	596.89
258147	484.08	641.92	495.83	653.16	384.54	788.47
266060	545.97	738.18	487.26	819.34	556.64	761.31
107429	194.2	246.76	215.65	234.52	118.8	340.49
358994	724.15	985.29	636.89	1099.73	787.38	975.04
128414	249.24	327.41	272	317.27	172.71	420.85
292252	595.62	798.42	582.65	841	544.06	887.76
239318	483.45	637.42	455.76	680.15	438.92	706.95
423662	728.19	1019.75	494.25	1302.07	1065.6	700.31
200641	386.86	511.95	395.55	519.36	312.33	615.99
327118	647.81	857	593.97	952.36	675.17	863.84
158750	293.9	377.68	320.37	360.5	182.2	518.89
113508	205.63	266.84	227.37	254.02	133.37	361.82
218208	399.14	513.31	436.86	497.77	269.72	671.94
162336	360.85	469.12	401.29	449.62	227.54	628.03
170364	331	431.42	342.01	439.61	256.69	524.22
155828	317.81	423.17	307.75	450.67	275.35	492.23
1994502	2776.25	3793.67	1555.44	5116.62	4673.61	1936.55
327823	660.39	862.7	603.63	945.21	612.6	935.71
407562	801.32	1048.48	801.4	1078.19	682.29	1185.95
141351	295.15	379.39	293.69	393.91	253.02	431.12
397692	816.5	1071.78	781.17	1158.08	768.88	1178.46
496975	1031.01	1360.81	1048.14	1388.83	843.08	1645.98
99884	203.01	267.48	196.43	284.17	190.03	287.86
344897	580.67	755.13	664.89	699.01	345.66	1046.56
153415	256.67	340.79	170.06	436.7	413.62	183.46
297164	533.19	718.25	379.78	902.24	735.07	503.94
136774	267.55	344	282.24	343.19	206.47	423.69
128931	250.09	326.35	260.73	325.88	197.97	395.01
151644	313.33	413.6	304.04	434.47	299.17	442.91
226798	458.72	602.35	408.57	674.06	498.03	572.06
139774	296.81	387.96	283.64	420.4	304.56	400.27
237724	477.31	629.21	434.76	695.83	495.66	641.13
640875	1227.85	1662.52	1006.77	1936.67	1434.76	1480.14
271088	430.16	559.89	494.08	515.38	239.72	800.1
547688	1153.64	1558.57	1090.93	1682.5	1076.9	1728.87
354211	667.01	857.51	695.98	846.14	499.57	1074.87
169870	312.21	400.94	345.44	380.23	195.76	545.85
409880	761.89	968.2	808.03	962.55	550.98	1261.71
407420	763.48	992.26	798.74	999.57	595.96	1237.14
262507	489.78	625.21	530.16	605.85	344.25	809.05
346797	700.03	942.18	603.78	1079.38	764.63	925.22
169158	335.58	446.39	313.82	481.72	323.79	476.84
161018	288.2	376.05	325.71	354.16	185.68	508.83
218358	434.18	583.9	350.65	694.91	515.77	515.82
1470703	2848.7	3873.89	2620.24	4244.31	2870.09	4031.63
189191	368.56	498.4	335.53	556.24	379.89	512.27
149423	304.28	403.55	307.86	417.63	267.34	458.9
173917	323.72	415.39	350.23	405.57	220.15	554.05
167220	331.2	441.89	305.58	484.2	322.96	465.55
194516	382.31	517.82	372	550.27	360.06	575.32
193822	377.07	502.94	334.74	566.19	420.5	477.57
678848	1131.67	1554.19	626.04	2110.98	1858.97	791.35
170868	319.65	421.39	334.96	426.26	266.38	506.07
153215	316.29	412.45	348.78	393.54	195.15	558.56
215763	437.94	571.65	435.36	605.68	386.62	666.93
141135	270.9	352.76	292.8	341.89	186.99	455.39
348593	696.48	903.88	697.62	948.39	594.52	1061.65
152814	316.38	409.06	309.9	431.08	286.05	463.81
946899	1823.57	2533.32	1452.09	3010.11	2291.12	2158.03
558656	1161.12	1525.39	1146.48	1599.97	1050.51	1730.32
