POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
9910 	1.80 	0.79 	2.60 	0.00 	2.50 	0.00 
9489 	1.69 	0.75 	2.46 	0.00 	2.38 	0.00 
7440 	1.34 	0.59 	1.94 	0.00 	1.86 	0.00 
32055 	3.93 	1.74 	5.69 	0.00 	5.49 	0.00 
9129 	1.62 	0.72 	2.35 	0.00 	2.26 	0.00 
3355 	0.60 	0.26 	0.86 	0.00 	0.83 	0.00 
2023 	0.37 	0.16 	0.53 	0.00 	0.51 	0.00 
8036 	1.43 	0.63 	2.07 	0.00 	2.00 	0.00 
4827 	0.86 	0.38 	1.24 	0.00 	1.20 	0.00 
12797 	1.64 	0.72 	2.38 	0.00 	2.28 	0.00 
6038 	1.06 	0.47 	1.53 	0.00 	1.47 	0.00 
2766 	0.49 	0.22 	0.71 	0.00 	0.69 	0.00 
17744 	2.56 	1.13 	3.68 	0.00 	3.56 	0.00 
851 	0.15 	0.07 	0.22 	0.00 	0.21 	0.00 
15930 	2.89 	1.26 	4.17 	0.00 	3.97 	0.00 
4160 	0.74 	0.33 	1.07 	0.00 	1.03 	0.00 
1382 	0.25 	0.11 	0.36 	0.00 	0.34 	0.00 
4765 	0.85 	0.37 	1.23 	0.00 	1.18 	0.00 
821 	0.14 	0.06 	0.20 	0.00 	0.20 	0.00 
28099 	3.14 	1.38 	4.53 	0.00 	4.35 	0.00 
2149 	0.39 	0.17 	0.56 	0.00 	0.54 	0.00 
23693 	2.73 	1.20 	3.95 	0.00 	3.80 	0.00 
2362 	0.42 	0.19 	0.62 	0.00 	0.60 	0.00 
9065 	1.60 	0.71 	2.31 	0.00 	2.23 	0.00 
7096 	1.28 	0.56 	1.86 	0.00 	1.79 	0.00 
12206 	2.14 	0.95 	3.10 	0.00 	2.99 	0.00 
71174 	8.18 	3.62 	11.83 	0.00 	11.41 	0.00 
4490 	0.80 	0.35 	1.16 	0.00 	1.12 	0.00 
26502 	2.81 	1.26 	4.06 	0.00 	3.92 	0.00 
3548 	0.62 	0.27 	0.89 	0.00 	0.86 	0.00 
2139 	0.38 	0.17 	0.55 	0.00 	0.53 	0.00 
97360 	10.10 	4.48 	14.66 	0.00 	13.94 	0.00 
181189 	11.81 	5.25 	17.10 	0.00 	16.46 	0.00 
29308 	4.87 	2.15 	7.06 	0.00 	6.80 	0.00 
29402 	4.79 	2.12 	6.94 	0.00 	6.68 	0.00 
40962 	6.05 	2.67 	8.83 	0.00 	8.45 	0.00 
137843 	16.05 	7.07 	23.11 	0.00 	22.47 	0.00 
207957 	27.61 	12.31 	40.03 	0.00 	38.82 	0.00 
43072 	6.46 	2.87 	9.37 	0.00 	8.97 	0.00 
107702 	15.69 	6.90 	22.80 	0.00 	21.83 	0.00 
37375 	5.40 	2.38 	7.78 	0.00 	7.59 	0.00 
43270 	5.43 	2.39 	7.83 	0.00 	7.51 	0.00 
1215614 	60.55 	26.60 	87.36 	0.00 	85.41 	0.00 
54090 	7.89 	3.49 	11.44 	0.00 	10.97 	0.00 
106993 	12.38 	5.59 	17.94 	0.00 	17.45 	0.00 
39291 	5.51 	2.44 	7.99 	0.00 	7.66 	0.00 
225281 	25.05 	11.14 	36.43 	0.00 	35.19 	0.00 
75956 	8.60 	3.79 	12.44 	0.00 	11.94 	0.00 
164152 	19.09 	8.53 	27.72 	0.00 	26.90 	0.00 
29513 	3.92 	1.75 	5.70 	0.00 	5.51 	0.00 
1393386 	54.60 	24.21 	79.05 	0.00 	76.75 	0.00 
43277 	6.82 	2.98 	9.86 	0.00 	9.48 	0.00 
31244 	5.20 	2.28 	7.49 	0.00 	7.27 	0.00 
95361 	15.44 	6.80 	22.33 	0.00 	21.58 	0.00 
169019 	20.20 	8.95 	29.25 	0.00 	28.23 	0.00 
53867 	7.79 	3.47 	11.31 	0.00 	10.92 	0.00 
40311 	6.00 	2.67 	8.69 	0.00 	8.36 	0.00 
810231 	45.99 	20.32 	66.40 	0.00 	64.37 	0.00 
76825 	9.19 	4.05 	13.28 	0.00 	12.83 	0.00 
32486 	4.53 	1.98 	6.52 	0.00 	6.29 	0.00 
16067 	2.72 	1.19 	3.94 	0.00 	3.79 	0.00 
28299 	4.23 	1.85 	6.11 	0.00 	5.95 	0.00 
45012 	7.08 	3.12 	10.24 	0.00 	9.83 	0.00 
29993 	4.43 	1.95 	6.39 	0.00 	6.11 	0.00 
44171 	7.19 	3.18 	10.36 	0.00 	10.06 	0.00 
60346 	8.39 	3.72 	12.11 	0.00 	11.68 	0.00 
102272 	14.17 	6.17 	20.34 	0.00 	19.75 	0.00 
33774 	5.11 	2.28 	7.39 	0.00 	7.10 	0.00 
69193 	9.99 	4.38 	14.36 	0.00 	13.82 	0.00 
63882 	9.46 	4.15 	13.67 	0.00 	13.29 	0.00 
226203 	22.05 	9.80 	32.00 	0.00 	30.70 	0.00 
8598 	0.89 	0.39 	1.29 	0.00 	1.24 	0.00 
63160 	8.69 	3.85 	12.57 	0.00 	12.13 	0.00 
181683 	22.57 	10.00 	32.70 	0.00 	31.45 	0.00 
46300 	6.79 	3.02 	9.87 	0.00 	9.64 	0.00 
302101 	32.47 	14.50 	47.00 	0.00 	45.58 	0.00 
436858 	30.91 	13.61 	44.42 	0.00 	43.31 	0.00 
66442 	8.67 	3.85 	12.62 	0.00 	12.10 	0.00 
44651 	6.47 	2.87 	9.45 	0.00 	9.07 	0.00 
225683 	25.67 	11.43 	37.25 	0.00 	36.26 	0.00 
67384 	7.56 	3.35 	10.98 	0.00 	10.57 	0.00 
180458 	23.38 	10.33 	33.79 	0.00 	32.52 	0.00 
24275 	4.02 	1.79 	5.81 	0.00 	5.62 	0.00 
41256 	6.23 	2.74 	9.03 	0.00 	8.59 	0.00 
104892 	13.16 	5.83 	19.04 	0.00 	18.16 	0.00 
14610 	2.44 	1.07 	3.53 	0.00 	3.38 	0.00 
537418 	43.45 	19.22 	62.78 	0.00 	60.81 	0.00 
15285 	2.55 	1.13 	3.70 	0.00 	3.58 	0.00 
46342 	6.28 	2.78 	9.08 	0.00 	8.75 	0.00 
36321 	5.91 	2.60 	8.57 	0.00 	8.28 	0.00 
87608 	13.24 	5.81 	19.06 	0.00 	18.37 	0.00 
15006 	2.45 	1.07 	3.51 	0.00 	3.45 	0.00 
40823 	6.18 	2.73 	8.94 	0.00 	8.68 	0.00 
19690 	3.28 	1.45 	4.76 	0.00 	4.54 	0.00 
37107 	6.19 	2.72 	8.91 	0.00 	8.57 	0.00 
