POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
21649 	2.92 	1.36 	4.31 	0.00 	3.59 	0.00 
21680 	2.62 	1.24 	3.91 	0.00 	3.13 	0.00 
21682 	1.35 	0.59 	1.96 	0.00 	1.88 	0.00 
21716 	3.23 	1.53 	4.77 	0.00 	4.18 	0.00 
21738 	1.35 	0.63 	1.99 	0.00 	1.92 	0.00 
21739 	3.80 	1.80 	5.61 	0.00 	4.92 	0.00 
21741 	1.45 	0.63 	2.09 	0.00 	2.02 	0.00 
21769 	2.97 	1.38 	4.38 	0.00 	4.20 	0.00 
21776 	1.57 	0.69 	2.27 	0.00 	2.17 	0.00 
21782 	2.30 	1.00 	3.31 	0.00 	3.19 	0.00 
21787 	1.55 	0.68 	2.23 	0.00 	2.15 	0.00 
21815 	3.88 	1.82 	5.77 	0.00 	4.43 	0.00 
21837 	1.54 	0.67 	2.23 	0.00 	2.13 	0.00 
21851 	1.63 	0.71 	2.34 	0.00 	2.26 	0.00 
21896 	2.30 	1.01 	3.30 	0.00 	3.20 	0.00 
21906 	1.00 	0.44 	1.44 	0.00 	1.38 	0.00 
21912 	3.66 	1.67 	5.35 	0.00 	5.15 	0.00 
21913 	1.96 	0.89 	2.86 	0.00 	2.80 	0.00 
21920 	3.24 	1.49 	4.77 	0.00 	4.56 	0.00 
21928 	3.42 	1.59 	5.05 	0.00 	3.91 	0.00 
21959 	3.60 	1.69 	5.33 	0.00 	4.28 	0.00 
21960 	2.90 	1.33 	4.23 	0.00 	4.06 	0.00 
21972 	1.49 	0.66 	2.16 	0.00 	2.10 	0.00 
21991 	1.83 	0.83 	2.68 	0.00 	2.60 	0.00 
22022 	4.30 	2.02 	6.34 	0.00 	5.11 	0.00 
22031 	0.36 	0.16 	0.52 	0.00 	0.50 	0.00 
22055 	2.18 	0.96 	3.16 	0.00 	3.03 	0.00 
22096 	1.69 	0.73 	2.43 	0.00 	2.33 	0.00 
22096 	3.73 	1.76 	5.53 	0.00 	4.35 	0.00 
22097 	2.09 	0.97 	3.09 	0.00 	2.97 	0.00 
22105 	2.13 	0.94 	3.09 	0.00 	2.96 	0.00 
22119 	1.82 	0.80 	2.62 	0.00 	2.54 	0.00 
22135 	4.35 	2.05 	6.44 	0.00 	5.11 	0.00 
22161 	3.90 	1.91 	5.87 	0.00 	3.39 	0.00 
22167 	1.28 	0.59 	1.87 	0.00 	1.82 	0.00 
22176 	3.77 	1.78 	5.62 	0.00 	4.36 	0.00 
22180 	1.73 	0.74 	2.47 	0.00 	2.40 	0.00 
22195 	2.46 	1.13 	3.60 	0.00 	3.45 	0.00 
22213 	3.65 	1.68 	5.36 	0.00 	5.15 	0.00 
22217 	4.39 	2.06 	6.49 	0.00 	5.38 	0.00 
22242 	1.38 	0.60 	1.98 	0.00 	1.91 	0.00 
22245 	2.59 	1.23 	3.85 	0.00 	2.86 	0.00 
22247 	2.76 	1.24 	4.00 	0.00 	3.87 	0.00 
22257 	1.66 	0.73 	2.40 	0.00 	2.31 	0.00 
22280 	3.87 	1.80 	5.70 	0.00 	4.57 	0.00 
22289 	3.93 	1.82 	5.77 	0.00 	4.86 	0.00 
22338 	1.63 	0.72 	2.36 	0.00 	2.26 	0.00 
22347 	0.90 	0.39 	1.28 	0.00 	1.26 	0.00 
22391 	4.11 	1.92 	6.10 	0.00 	4.56 	0.00 
22412 	2.23 	0.97 	3.21 	0.00 	3.11 	0.00 
22429 	1.52 	0.66 	2.19 	0.00 	2.11 	0.00 
22439 	3.93 	1.86 	5.79 	0.00 	5.05 	0.00 
22477 	2.96 	1.34 	4.34 	0.00 	4.17 	0.00 
22491 	4.22 	1.95 	6.23 	0.00 	5.38 	0.00 
22492 	0.45 	0.20 	0.64 	0.00 	0.62 	0.00 
22508 	1.50 	0.66 	2.16 	0.00 	2.08 	0.00 
22532 	4.02 	1.85 	5.93 	0.00 	4.94 	0.00 
22634 	1.77 	0.78 	2.57 	0.00 	2.45 	0.00 
22652 	0.67 	0.29 	0.96 	0.00 	0.94 	0.00 
22703 	1.70 	0.79 	2.52 	0.00 	2.43 	0.00 
22707 	1.50 	0.65 	2.14 	0.00 	2.08 	0.00 
22720 	2.26 	1.07 	3.35 	0.00 	3.23 	0.00 
22724 	1.29 	0.57 	1.87 	0.00 	1.80 	0.00 
22786 	2.00 	0.87 	2.88 	0.00 	2.81 	0.00 
22847 	1.43 	0.63 	2.07 	0.00 	1.98 	0.00 
22886 	2.03 	0.94 	3.00 	0.00 	2.91 	0.00 
22911 	1.91 	0.88 	2.81 	0.00 	2.74 	0.00 
22971 	3.43 	1.58 	5.07 	0.00 	3.93 	0.00 
22985 	3.11 	1.48 	4.60 	0.00 	3.46 	0.00 
23002 	4.44 	2.09 	6.50 	0.00 	5.23 	0.00 
23024 	4.03 	1.89 	5.98 	0.00 	5.20 	0.00 
23027 	0.38 	0.17 	0.55 	0.00 	0.53 	0.00 
23053 	1.71 	0.79 	2.51 	0.00 	2.42 	0.00 
23088 	2.77 	1.25 	4.04 	0.00 	3.91 	0.00 
23137 	1.48 	0.65 	2.13 	0.00 	2.06 	0.00 
23161 	2.05 	0.93 	3.00 	0.00 	2.89 	0.00 
23180 	2.13 	0.95 	3.09 	0.00 	2.99 	0.00 
23218 	2.45 	1.12 	3.59 	0.00 	3.45 	0.00 
23229 	4.13 	1.89 	6.06 	0.00 	5.73 	0.00 
23274 	3.11 	1.42 	4.54 	0.00 	3.59 	0.00 
23283 	1.75 	0.76 	2.50 	0.00 	2.43 	0.00 
23284 	3.53 	1.67 	5.23 	0.00 	5.07 	0.00 
23293 	1.67 	0.73 	2.42 	0.00 	2.32 	0.00 
23321 	1.32 	0.57 	1.90 	0.00 	1.82 	0.00 
23323 	4.15 	1.96 	6.14 	0.00 	5.18 	0.00 
23335 	1.45 	0.63 	2.09 	0.00 	2.03 	0.00 
23363 	4.36 	2.00 	6.37 	0.00 	5.49 	0.00 
23393 	3.40 	1.54 	4.99 	0.00 	4.78 	0.00 
23556 	0.27 	0.12 	0.39 	0.00 	0.38 	0.00 
23627 	1.54 	0.68 	2.22 	0.00 	2.16 	0.00 
23655 	3.77 	1.77 	5.57 	0.00 	4.24 	0.00 
23660 	1.30 	0.56 	1.87 	0.00 	1.81 	0.00 
23672 	0.85 	0.37 	1.22 	0.00 	1.18 	0.00 
23691 	2.28 	1.10 	3.37 	0.00 	2.87 	0.00 
23769 	2.60 	1.23 	3.84 	0.00 	3.68 	0.00 
23832 	1.02 	0.45 	1.48 	0.00 	1.42 	0.00 
23835 	1.82 	0.78 	2.61 	0.00 	2.52 	0.00 
23862 	2.05 	0.90 	2.94 	0.00 	2.85 	0.00 
1478 	0.10 	0.04 	0.14 	0.00 	0.14 	0.00 
23864 	3.56 	1.61 	5.18 	0.00 	4.99 	0.00 
23889 	4.35 	2.02 	6.41 	0.00 	4.85 	0.00 
23894 	2.20 	1.01 	3.22 	0.00 	3.09 	0.00 
23951 	1.61 	0.70 	2.32 	0.00 	2.22 	0.00 
23960 	4.51 	2.09 	6.64 	0.00 	4.97 	0.00 
23987 	1.35 	0.59 	1.95 	0.00 	1.88 	0.00 
24002 	4.00 	1.83 	5.86 	0.00 	5.64 	0.00 
24014 	2.31 	1.01 	3.35 	0.00 	3.23 	0.00 
24017 	2.04 	0.89 	2.94 	0.00 	2.83 	0.00 
24021 	2.15 	1.02 	3.20 	0.00 	3.12 	0.00 
24039 	3.30 	1.51 	4.85 	0.00 	4.65 	0.00 
24057 	2.68 	1.26 	3.97 	0.00 	3.83 	0.00 
24085 	2.87 	1.31 	4.20 	0.00 	4.10 	0.00 
