POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
190647 	940.51 	1197.15 	1481.65 	707.17 	326.59 	1876.81 
113300 	608.46 	770.38 	933.54 	478.30 	216.92 	1194.83 
94282 	488.08 	631.85 	736.10 	407.87 	179.58 	968.64 
67785 	343.61 	434.55 	539.81 	258.91 	121.38 	673.94 
120031 	610.37 	780.48 	953.97 	469.71 	232.57 	1207.63 
19222 	3.09 	1.51 	4.64 	0.00 	2.55 	0.00 
2020 	0.47 	0.23 	0.70 	0.00 	0.45 	0.00 
4862 	1.29 	0.62 	1.92 	0.00 	1.12 	0.00 
45224 	137.66 	173.02 	233.36 	83.35 	49.94 	263.83 
22739 	49.50 	60.92 	88.41 	25.06 	17.43 	94.03 
18100 	46.82 	57.85 	81.15 	25.84 	16.72 	89.09 
38737 	143.16 	178.94 	227.30 	102.48 	54.70 	271.75 
52389 	152.21 	189.30 	249.99 	98.28 	56.31 	286.51 
36712 	77.22 	94.75 	139.27 	37.20 	26.43 	148.56 
29453 	99.21 	123.86 	154.95 	72.11 	39.00 	188.25 
15331 	22.75 	28.34 	43.73 	8.78 	6.75 	45.04 
16550 	59.33 	74.31 	89.70 	46.33 	24.19 	112.62 
20287 	55.65 	68.81 	96.13 	31.45 	19.18 	106.81 
22546 	75.00 	94.27 	120.93 	52.08 	28.26 	143.07 
79704 	206.02 	250.84 	355.19 	112.44 	71.63 	388.48 
12540 	19.80 	24.25 	37.08 	7.58 	5.57 	38.47 
43660 	94.47 	117.33 	169.92 	47.06 	32.25 	179.93 
164790 	469.23 	575.11 	770.03 	298.28 	172.40 	886.65 
42315 	110.58 	138.20 	195.31 	58.78 	36.71 	213.75 
63822 	133.01 	163.68 	239.43 	62.63 	42.91 	253.90 
9719 	31.95 	39.88 	51.66 	21.98 	11.94 	60.54 
18300 	53.11 	65.95 	89.88 	32.54 	19.32 	101.57 
14535 	21.49 	26.64 	41.03 	8.41 	6.26 	42.60 
67121 	174.36 	220.77 	303.79 	97.54 	60.93 	336.52 
37071 	59.04 	72.16 	110.93 	23.43 	18.44 	113.30 
35812 	79.26 	96.71 	141.63 	38.17 	26.02 	150.55 
13956 	20.78 	25.04 	39.37 	7.93 	6.11 	40.51 
7749 	12.30 	15.19 	23.55 	4.68 	3.71 	24.02 
92933 	282.91 	355.20 	465.27 	186.20 	105.82 	541.68 
69376 	178.95 	222.15 	311.16 	99.85 	62.16 	344.82 
121004 	411.69 	524.52 	630.23 	328.59 	158.52 	792.08 
17356 	48.23 	59.81 	82.99 	27.68 	16.94 	92.23 
27506 	60.97 	75.10 	107.89 	30.38 	20.15 	115.39 
52510 	104.74 	129.30 	190.91 	48.48 	33.96 	202.25 
67568 	164.69 	203.27 	293.95 	83.73 	56.75 	315.09 
53106 	125.74 	154.04 	220.33 	64.16 	44.24 	237.39 
41783 	115.00 	142.50 	195.53 	67.77 	41.96 	218.67 
22917 	33.34 	41.27 	63.20 	12.95 	9.85 	65.15 
20899 	49.46 	61.35 	86.95 	25.72 	16.98 	95.05 
36934 	108.65 	137.12 	180.72 	71.75 	40.87 	210.52 
40924 	105.85 	129.74 	181.06 	58.39 	36.02 	201.88 
44571 	105.82 	131.52 	187.14 	56.43 	35.66 	204.75 
28639 	81.55 	100.96 	138.05 	47.62 	29.34 	154.66 
17181 	55.01 	67.62 	88.61 	36.18 	20.55 	103.68 
25743 	37.61 	45.84 	70.40 	14.31 	11.44 	71.92 
36844 	100.80 	123.44 	171.68 	58.14 	36.33 	192.89 
23778 	79.42 	99.95 	127.34 	55.84 	31.10 	149.93 
21031 	47.35 	59.22 	83.67 	25.11 	16.64 	90.60 
37982 	59.24 	71.80 	109.08 	26.03 	17.72 	115.45 
83069 	240.96 	302.99 	404.41 	153.08 	89.23 	464.30 
49961 	123.23 	151.93 	224.49 	57.07 	40.47 	236.18 
39076 	76.15 	93.64 	137.99 	35.04 	24.31 	146.52 
22283 	32.71 	40.17 	61.93 	12.72 	9.64 	64.04 
92409 	247.39 	304.50 	424.84 	135.81 	87.21 	466.73 
58650 	146.10 	181.19 	254.17 	82.88 	51.95 	279.42 
29708 	66.00 	81.57 	117.80 	33.38 	21.48 	127.64 
69178 	173.42 	211.26 	297.82 	96.41 	60.24 	330.81 
24079 	33.76 	41.60 	64.03 	12.99 	9.86 	66.38 
25087 	60.61 	75.57 	106.20 	32.84 	21.11 	115.96 
35730 	102.11 	126.63 	170.48 	61.99 	36.68 	193.27 
21419 	31.79 	39.35 	59.26 	12.57 	9.49 	61.24 
44471 	102.55 	126.60 	176.81 	56.23 	34.87 	195.05 
101751 	292.48 	363.96 	466.88 	204.47 	109.11 	550.93 
39511 	141.25 	175.53 	231.98 	89.19 	54.98 	262.63 
81306 	192.66 	241.04 	336.76 	105.07 	67.40 	370.23 
43578 	80.39 	99.40 	147.55 	35.61 	25.46 	155.17 
32271 	64.85 	78.78 	120.86 	25.96 	21.90 	123.10 
24685 	57.67 	70.80 	101.96 	29.25 	19.31 	108.73 
21914 	33.89 	41.53 	64.70 	13.23 	9.78 	66.84 
68061 	160.63 	201.43 	285.07 	84.44 	55.51 	308.69 
23424 	63.92 	79.55 	107.94 	38.35 	23.27 	121.42 
62647 	154.82 	190.20 	269.43 	85.23 	54.17 	295.26 
47209 	110.80 	135.02 	191.99 	59.18 	37.15 	209.67 
171044 	544.97 	697.61 	813.93 	454.22 	224.96 	1018.19 
58921 	84.70 	103.32 	160.24 	32.35 	25.05 	164.42 
45432 	95.78 	118.87 	166.49 	54.10 	32.11 	186.11 
30406 	61.31 	75.95 	114.85 	24.95 	20.64 	116.05 
33278 	48.99 	61.07 	92.23 	19.08 	14.35 	95.69 
116381 	341.34 	424.18 	579.85 	207.45 	121.01 	656.67 
15078 	20.87 	25.47 	39.22 	8.02 	6.29 	40.41 
43586 	78.69 	94.96 	146.91 	31.27 	24.91 	150.50 
106752 	235.99 	290.41 	416.57 	121.39 	79.43 	448.38 
21196 	29.86 	36.82 	56.03 	11.76 	8.75 	57.87 
44725 	90.70 	111.18 	163.96 	44.66 	30.10 	175.72 
70719 	207.42 	254.19 	332.03 	140.84 	77.62 	386.27 
28924 	42.20 	52.87 	81.80 	16.53 	12.56 	84.11 
54103 	118.48 	146.23 	209.01 	61.58 	39.99 	229.77 
63435 	201.87 	247.45 	313.99 	143.15 	78.50 	379.74 
40279 	99.45 	123.15 	174.66 	54.46 	34.23 	191.70 
55164 	172.55 	214.34 	274.84 	122.54 	66.06 	328.38 
15052 	43.95 	54.45 	71.05 	28.68 	16.27 	82.95 
33014 	77.25 	95.96 	134.18 	42.66 	27.06 	148.56 
48088 	67.84 	83.80 	128.59 	27.22 	19.89 	133.17 
20599 	47.43 	59.59 	84.26 	25.10 	16.27 	91.69 
34808 	49.61 	60.43 	91.38 	21.60 	14.61 	97.00 
45691 	86.28 	106.23 	156.16 	39.21 	27.47 	163.69 
36225 	101.85 	123.63 	167.60 	63.55 	38.31 	189.11 
30831 	62.55 	76.88 	111.23 	30.52 	20.64 	120.33 
25957 	38.94 	47.59 	74.10 	14.99 	11.40 	76.28 
82222 	277.07 	340.07 	417.23 	208.74 	108.27 	520.26 
54433 	122.81 	148.84 	211.27 	67.49 	41.83 	233.87 
41520 	122.06 	148.66 	201.18 	74.53 	43.67 	230.05 
175863 	470.95 	581.99 	794.38 	283.15 	171.27 	896.58 
42337 	107.16 	133.33 	187.55 	59.58 	36.91 	206.18 
24703 	53.32 	65.01 	93.13 	27.86 	18.22 	101.82 
32292 	63.25 	77.39 	113.92 	29.50 	21.17 	119.63 
83105 	180.64 	221.98 	325.69 	87.50 	62.86 	344.60 
153648 	447.22 	567.92 	748.55 	286.92 	160.92 	867.78 
26787 	97.56 	120.52 	150.06 	71.88 	37.62 	183.16 
43554 	97.19 	120.06 	174.58 	48.09 	33.28 	185.36 
30231 	62.41 	77.19 	118.33 	25.32 	20.38 	119.78 
46352 	114.82 	142.15 	199.90 	63.92 	40.33 	218.89 
137622 	308.39 	379.02 	551.01 	153.82 	107.41 	584.71 
38449 	60.25 	73.09 	113.01 	23.10 	17.49 	115.56 
6138 	9.48 	11.20 	17.41 	3.60 	2.71 	17.96 
92328 	293.85 	374.01 	462.73 	223.44 	110.68 	562.66 
37458 	78.88 	96.94 	141.56 	37.98 	27.13 	149.12 
28326 	42.64 	50.70 	79.84 	15.93 	12.58 	82.37 
22519 	34.25 	42.78 	65.69 	13.23 	10.10 	67.44 
36892 	108.93 	134.09 	179.53 	67.70 	40.62 	205.23 
110298 	162.03 	198.95 	306.50 	62.92 	49.68 	314.51 
34729 	73.55 	90.21 	132.54 	35.28 	23.58 	140.51 
65105 	140.58 	175.84 	251.02 	71.02 	48.56 	270.88 
49073 	137.82 	168.32 	230.36 	80.53 	49.69 	258.00 
39206 	88.97 	111.08 	160.39 	45.43 	29.42 	172.18 
26448 	40.72 	49.35 	76.29 	15.37 	11.75 	78.86 
31571 	48.80 	60.92 	93.12 	19.16 	14.52 	96.77 
26384 	64.94 	78.89 	110.86 	35.90 	22.46 	122.98 
58994 	189.10 	234.71 	303.97 	131.37 	73.40 	351.91 
11059 	16.37 	20.14 	31.17 	6.37 	4.72 	32.40 
43371 	62.21 	75.42 	117.72 	23.44 	18.45 	120.00 
37425 	71.86 	91.01 	133.03 	34.47 	23.38 	141.62 
17617 	27.87 	34.16 	53.16 	10.71 	7.82 	55.12 
60639 	178.92 	221.09 	287.06 	124.09 	68.15 	338.35 
47253 	118.52 	146.44 	195.89 	73.68 	43.31 	225.63 
18676 	28.09 	35.34 	53.84 	11.03 	8.23 	55.96 
11533 	17.33 	21.25 	32.88 	6.74 	4.99 	34.29 
27567 	39.83 	48.96 	72.01 	18.22 	11.71 	76.89 
12218 	38.70 	48.11 	62.19 	26.44 	14.59 	73.99 
24066 	34.37 	41.42 	64.80 	13.09 	10.24 	65.71 
48556 	149.29 	185.94 	249.22 	93.11 	52.48 	286.45 
11910 	18.33 	22.46 	34.84 	7.11 	5.26 	35.94 
10793 	15.57 	18.84 	29.49 	5.87 	4.67 	29.94 
19049 	51.91 	64.36 	86.70 	32.60 	19.21 	97.55 
16199 	25.44 	31.75 	48.59 	9.71 	7.40 	50.27 
14069 	43.43 	54.54 	71.20 	29.23 	16.50 	82.93 
12185 	18.66 	22.83 	35.67 	7.07 	5.54 	36.62 
24768 	37.45 	46.63 	72.01 	14.51 	10.71 	73.55 
35981 	108.03 	132.72 	175.80 	70.22 	40.35 	204.97 
75647 	271.00 	335.14 	416.93 	201.68 	104.28 	509.56 
25423 	37.08 	45.55 	70.18 	14.40 	11.39 	71.84 
65554 	152.39 	186.73 	266.45 	78.10 	52.49 	285.74 
68460 	160.27 	196.82 	281.14 	81.98 	53.15 	303.23 
15368 	41.02 	51.12 	71.36 	23.06 	14.12 	79.15 
36685 	53.37 	64.88 	100.39 	20.39 	16.07 	101.57 
203228 	691.08 	880.20 	1033.08 	572.00 	271.13 	1314.50 
20581 	74.38 	93.16 	115.69 	55.31 	29.09 	141.07 
102270 	283.92 	350.40 	491.02 	158.86 	97.04 	547.86 
20133 	57.80 	71.65 	96.96 	34.48 	20.50 	109.38 
110941 	395.88 	488.33 	634.88 	269.39 	135.76 	765.17 
60889 	96.54 	118.48 	184.82 	37.28 	28.91 	188.06 
173186 	432.12 	533.50 	771.77 	218.29 	147.12 	837.85 
52577 	126.12 	157.32 	225.76 	65.32 	44.28 	244.57 
85667 	207.00 	255.39 	366.79 	108.10 	70.90 	399.95 
19609 	29.42 	35.49 	54.73 	11.29 	8.67 	56.44 
12838 	44.17 	53.99 	69.04 	31.32 	16.90 	82.29 
13970 	19.85 	24.05 	37.63 	7.44 	6.00 	38.50 
35516 	102.31 	125.41 	177.34 	55.25 	36.49 	191.74 
53764 	130.18 	162.36 	233.47 	65.09 	43.58 	252.17 
17119 	25.53 	31.08 	47.96 	9.92 	7.70 	49.35 
26348 	82.26 	100.19 	132.90 	53.91 	30.21 	155.45 
5758 	8.15 	9.85 	15.31 	3.12 	2.41 	15.66 
45498 	117.82 	144.88 	196.94 	69.83 	42.51 	220.70 
174437 	539.39 	690.69 	836.72 	416.58 	205.89 	1041.60 
115331 	371.31 	457.67 	622.02 	224.95 	136.13 	700.75 
14911 	31.89 	39.00 	59.18 	12.92 	10.29 	60.69 
27499 	73.67 	90.97 	130.16 	38.33 	26.33 	138.92 
35193 	115.61 	142.82 	193.89 	71.00 	42.31 	220.22 
28131 	126.31 	157.16 	183.60 	106.75 	52.64 	238.10 
38273 	105.05 	130.17 	178.53 	62.27 	36.57 	201.90 
107652 	321.08 	398.00 	523.50 	214.70 	122.80 	608.81 
38244 	121.82 	152.68 	202.65 	78.16 	45.98 	230.82 
103084 	340.10 	422.67 	546.13 	234.71 	131.23 	640.10 
30338 	102.22 	127.13 	161.01 	73.63 	40.90 	191.43 
26888 	96.86 	119.13 	145.51 	74.49 	39.71 	180.54 
66297 	157.61 	191.37 	279.96 	77.54 	54.98 	293.77 
14619 	21.03 	25.42 	39.33 	7.95 	6.13 	40.39 
23076 	59.34 	72.81 	102.02 	32.50 	20.01 	114.05 
50304 	149.23 	182.92 	237.60 	101.03 	56.81 	279.10 
69277 	177.12 	217.29 	309.78 	95.54 	62.67 	338.69 
71649 	130.24 	159.58 	237.21 	58.33 	42.71 	247.50 
64108 	207.07 	258.42 	309.86 	167.44 	80.65 	386.77 
40108 	90.35 	111.89 	160.06 	45.75 	30.47 	171.96 
70322 	128.13 	157.47 	236.89 	54.38 	39.42 	245.46 
16838 	58.23 	71.57 	89.47 	43.08 	22.69 	110.07 
52345 	134.81 	167.54 	232.52 	76.26 	48.10 	258.42 
48551 	102.17 	126.35 	180.54 	51.08 	33.90 	194.86 
40396 	77.23 	95.85 	145.36 	31.39 	25.71 	147.34 
86238 	289.36 	360.34 	439.36 	228.04 	107.75 	544.84 
115707 	431.39 	543.17 	609.56 	383.29 	187.85 	786.20 
29008 	42.27 	52.14 	80.54 	16.31 	12.42 	82.87 
20620 	61.14 	75.50 	103.14 	36.01 	21.75 	114.94 
68965 	180.88 	225.38 	316.24 	99.47 	63.37 	348.00 
33067 	85.98 	107.85 	149.42 	49.84 	30.67 	168.06 
101237 	309.37 	385.00 	500.65 	207.95 	119.63 	581.83 
14360 	44.81 	55.19 	82.83 	19.28 	16.18 	84.33 
39524 	102.81 	129.40 	181.75 	55.78 	36.33 	198.43 
19107 	56.39 	69.56 	93.48 	35.91 	21.27 	106.68 
32202 	80.67 	100.82 	138.85 	44.38 	28.13 	152.64 
49783 	105.73 	127.52 	189.85 	47.17 	36.18 	197.92 
34705 	65.34 	79.97 	120.00 	28.38 	21.06 	125.01 
38065 	92.49 	112.77 	158.04 	51.34 	31.50 	174.85 
114932 	308.23 	390.35 	501.79 	209.14 	114.05 	593.78 
65501 	97.65 	120.60 	186.02 	37.73 	28.54 	192.84 
40978 	85.83 	106.06 	151.58 	43.28 	29.03 	164.58 
23675 	35.44 	42.92 	65.67 	13.68 	10.39 	68.20 
109293 	293.46 	358.67 	498.74 	169.85 	102.72 	555.52 
46083 	137.31 	169.46 	223.21 	88.65 	52.19 	257.69 
31090 	64.14 	79.40 	115.97 	30.57 	21.17 	123.17 
114655 	294.05 	362.19 	504.87 	167.32 	105.00 	558.43 
138989 	349.31 	428.57 	587.10 	199.84 	121.22 	663.64 
47611 	69.37 	86.99 	129.74 	30.03 	20.09 	136.44 
