POP	PLE1	PLE2	PLE3	PLE4	PLE5	PLE6
208440	276.91 	318.51 	232.00 	365.58 	73.35 	532.84 
196784	272.11 	315.31 	223.87 	363.02 	71.02 	526.00 
350108	673.99 	779.21 	483.36 	974.50 	149.94 	1321.78 
414444	775.14 	901.21 	546.68 	1137.03 	166.67 	1528.64 
158654	315.05 	363.10 	213.47 	467.78 	67.64 	623.21 
226594	405.86 	469.15 	305.00 	573.01 	100.15 	795.99 
215942	381.42 	446.60 	292.70 	539.74 	85.23 	753.27 
339971	425.43 	483.83 	376.70 	536.09 	134.67 	792.92 
978643	720.99 	789.63 	776.59 	744.07 	330.98 	1181.40 
4723479	261.06 	185.37 	446.39 	0.00 	347.50 	0.00 
1178997	666.90 	699.03 	773.77 	599.10 	393.13 	960.32 
908651	228.07 	244.19 	265.51 	207.43 	118.29 	348.09 
897002	244.69 	253.20 	292.29 	205.67 	148.61 	343.58 
1617647	528.05 	574.20 	589.46 	514.02 	248.96 	857.29 
1088354	184.81 	195.40 	219.21 	161.36 	99.08 	271.98 
269449	189.00 	221.24 	185.37 	225.04 	47.34 	370.32 
978196	711.28 	771.17 	781.54 	704.44 	362.53 	1119.69 
814382	662.23 	733.25 	690.40 	708.68 	283.86 	1109.09 
517195	631.87 	723.35 	596.17 	763.83 	204.50 	1157.39 
1790352	200.59 	201.78 	258.69 	144.73 	139.85 	243.43 
740703	1058.04 	1244.34 	887.40 	1414.89 	206.90 	2123.73 
258982	532.96 	613.18 	374.73 	772.07 	113.86 	1041.08 
250438	529.17 	614.20 	364.18 	785.66 	111.14 	1040.11 
48016	87.20 	101.13 	69.33 	119.45 	20.36 	170.04 
501649	772.06 	905.49 	630.03 	1049.29 	172.06 	1510.10 
285270	505.08 	588.21 	385.41 	710.76 	122.88 	977.47 
187812	382.92 	441.23 	286.02 	538.48 	88.44 	752.89 
268197	546.14 	639.44 	375.80 	812.78 	117.93 	1071.57 
216280	403.28 	467.11 	304.68 	567.71 	94.66 	789.46 
617369	624.77 	723.29 	571.44 	779.76 	168.03 	1186.25 
309589	379.33 	427.72 	348.96 	460.67 	119.29 	685.05 
38034	84.01 	97.59 	50.93 	130.80 	16.79 	166.61 
553809	538.03 	612.23 	521.69 	631.18 	176.01 	968.07 
296938	507.76 	589.22 	411.30 	690.69 	119.27 	990.70 
164594	268.14 	313.11 	218.02 	364.27 	61.76 	519.60 
280140	448.08 	521.89 	364.55 	610.21 	104.83 	873.14 
43365	94.89 	109.62 	57.74 	147.17 	18.22 	187.89 
223617	357.96 	410.36 	295.77 	471.72 	95.69 	680.95 
269377	357.91 	419.65 	304.70 	474.86 	81.51 	704.63 
103376	173.73 	203.97 	136.62 	243.15 	38.62 	343.87 
506531	150.58 	169.35 	160.57 	160.60 	58.59 	267.82 
219605	407.00 	473.31 	303.53 	579.02 	82.46 	808.19 
57463	123.32 	144.41 	81.09 	187.94 	24.59 	244.93 
337414	688.47 	797.63 	474.35 	1023.32 	149.40 	1354.36 
187675	336.22 	396.29 	260.33 	472.59 	59.83 	686.43 
109192	182.72 	213.04 	144.87 	253.54 	41.27 	360.90 
368745	724.42 	849.93 	513.51 	1062.16 	148.25 	1445.69 
60441	128.47 	151.48 	85.44 	196.85 	25.97 	255.86 
254514	406.13 	469.58 	333.85 	547.71 	99.69 	792.14 
130368	219.03 	253.12 	181.93 	290.27 	55.56 	422.30 
300793	451.52 	525.70 	379.26 	600.52 	105.38 	879.59 
87102	83.47 	96.93 	74.45 	106.62 	21.75 	163.53 
3732258	800.45 	909.86 	848.72 	868.85 	302.39 	1409.36 
167226	252.52 	296.68 	208.54 	343.62 	53.73 	503.23 
72214	141.26 	162.79 	100.93 	204.13 	30.84 	275.88 
142131	278.95 	322.70 	203.33 	399.20 	60.43 	544.16 
94883	188.74 	218.79 	134.66 	273.61 	39.64 	370.10 
89193	178.22 	205.03 	127.34 	257.21 	40.37 	347.45 
38257	82.74 	96.57 	55.29 	123.95 	16.92 	163.09 
63903	131.92 	153.01 	91.49 	193.89 	29.40 	255.57 
62253	134.25 	155.75 	83.65 	206.77 	26.54 	266.77 
189100	397.46 	457.48 	262.73 	593.88 	89.37 	771.34 
81417	145.81 	168.93 	110.87 	204.23 	35.49 	279.75 
932344	638.18 	748.65 	583.85 	808.08 	157.45 	1260.06 
131211	263.75 	304.79 	193.51 	378.51 	57.50 	517.75 
73742	149.76 	173.02 	106.30 	218.17 	34.67 	289.14 
40388	87.63 	101.81 	49.35 	141.01 	17.91 	171.11 
143798	251.75 	291.96 	190.15 	356.16 	61.27 	491.80 
107709	218.92 	254.01 	151.10 	323.42 	47.47 	430.00 
289119	514.00 	605.85 	400.15 	719.76 	111.58 	1015.67 
151691	287.72 	330.60 	226.15 	395.53 	68.02 	559.74 
71260	160.00 	184.53 	95.14 	250.16 	30.38 	317.27 
520324	542.15 	637.34 	465.00 	719.59 	113.99 	1095.49 
215083	384.70 	452.93 	274.98 	562.55 	72.00 	773.00 
227752	442.66 	512.81 	328.28 	628.33 	100.35 	864.46 
122840	260.62 	303.23 	175.62 	388.59 	53.66 	513.39 
257206	504.11 	586.26 	367.28 	731.50 	109.97 	997.27 
455618	310.27 	359.96 	297.27 	372.85 	93.01 	587.07 
71242	155.98 	180.62 	95.94 	242.21 	31.22 	308.20 
228369	446.61 	519.86 	312.76 	656.09 	88.13 	888.49 
83803	183.33 	211.87 	108.47 	288.62 	35.33 	360.83 
544839	793.21 	929.03 	634.24 	1091.47 	157.52 	1595.76 
27494	59.82 	69.35 	34.52 	95.55 	11.38 	119.37 
177328	314.17 	363.61 	251.78 	428.20 	75.95 	612.99 
159449	274.34 	319.92 	218.63 	376.58 	63.92 	536.91 
377798	600.47 	692.02 	477.05 	820.77 	153.79 	1152.04 
166056	142.58 	166.28 	131.38 	178.97 	34.93 	281.36 
170188	322.66 	373.87 	243.80 	455.52 	73.11 	630.47 
192350	393.15 	453.88 	279.14 	572.13 	85.78 	766.85 
152837	306.68 	358.30 	223.72 	442.59 	66.51 	598.55 
303081	511.15 	596.30 	417.97 	693.19 	120.11 	993.95 
569169	723.04 	832.08 	630.48 	926.74 	206.97 	1358.94 
377532	32.91 	33.67 	40.57 	26.13 	22.49 	43.56 
84132	36.70 	42.17 	36.35 	42.73 	11.23 	69.02 
432387	310.13 	361.23 	292.50 	377.84 	75.66 	586.97 
480505	865.97 	1008.60 	670.92 	1214.18 	186.28 	1707.39 
291133	245.19 	274.54 	237.90 	283.27 	90.04 	441.62 
164247	317.45 	368.30 	236.44 	451.76 	76.05 	613.17 
847837	1037.68 	1194.16 	895.51 	1352.83 	298.42 	1991.54 
423141	673.68 	777.67 	540.69 	921.13 	171.57 	1299.29 
501557	23.86 	20.53 	35.47 	9.12 	28.02 	15.10 
287350	508.11 	587.39 	401.10 	695.41 	118.68 	988.10 
228043	230.20 	259.00 	221.31 	269.43 	87.85 	405.53 
406962	480.78 	541.46 	432.83 	592.67 	159.97 	879.87 
350121	554.05 	640.00 	438.62 	760.37 	145.74 	1067.60 
42146	85.75 	99.81 	41.99 	143.78 	13.22 	173.27 
507128	747.41 	872.30 	641.75 	986.91 	179.48 	1463.58 
38429	98.28 	113.65 	54.89 	157.63 	16.89 	196.67 
57642	141.26 	162.91 	92.53 	213.71 	26.56 	279.19 
47503	114.52 	133.69 	78.16 	171.47 	22.53 	225.91 
37299	91.29 	105.52 	50.98 	145.94 	15.63 	181.53 
75226	154.57 	181.11 	119.88 	217.01 	28.91 	308.60 
43445	100.96 	117.94 	67.53 	151.16 	19.86 	198.96 
108162	264.42 	310.60 	172.79 	406.24 	49.49 	527.36 
50889	120.72 	141.93 	83.01 	180.65 	22.16 	242.03 
84985	205.77 	238.14 	117.66 	325.69 	37.40 	408.90 
107842	252.71 	294.63 	178.31 	371.17 	47.25 	503.94 
52131	131.24 	152.94 	83.76 	201.77 	24.58 	261.30 
29397	72.74 	84.05 	35.25 	121.99 	10.23 	148.58 
50861	126.97 	146.96 	83.72 	192.17 	23.04 	252.51 
60015	137.79 	159.90 	101.44 	196.16 	27.50 	274.99 
321267	181.75 	217.49 	177.41 	226.20 	33.61 	386.45 
58136	138.97 	160.80 	74.51 	226.26 	22.49 	281.08 
48665	105.32 	123.08 	52.55 	175.88 	15.43 	213.92 
30914	77.65 	90.96 	46.92 	122.18 	13.75 	157.44 
37205	91.10 	105.64 	51.62 	146.16 	15.62 	182.75 
42454	105.62 	121.70 	63.41 	164.98 	19.34 	209.38 
22692	51.08 	59.37 	25.23 	85.67 	7.48 	102.78 
53977	122.56 	144.24 	90.06 	177.20 	23.21 	244.38 
67327	159.43 	187.84 	108.21 	240.05 	29.12 	320.81 
36212	78.42 	91.46 	38.86 	131.48 	11.81 	159.74 
121796	279.77 	328.91 	196.62 	413.15 	45.65 	565.53 
36245	81.44 	94.31 	39.96 	135.96 	12.02 	166.22 
45655	110.15 	128.18 	60.00 	178.60 	19.21 	220.39 
42397	104.20 	119.97 	63.07 	161.23 	19.21 	206.68 
48814	116.32 	134.41 	81.35 	169.74 	22.38 	232.89 
10734	25.97 	30.53 	13.00 	43.88 	3.83 	53.28 
16274	35.81 	41.59 	17.36 	60.68 	5.31 	73.47 
18785	42.72 	49.53 	31.74 	60.80 	8.78 	83.63 
17209	43.44 	50.07 	21.43 	72.21 	6.23 	88.34 
24649	60.37 	70.58 	35.23 	96.01 	10.89 	120.84 
10824	24.53 	28.42 	11.86 	41.32 	3.55 	50.07 
7650	17.18 	19.96 	8.50 	28.76 	2.49 	34.94 
41865	104.34 	120.19 	59.84 	165.15 	18.60 	205.31 
33197	75.40 	88.53 	37.41 	126.95 	11.06 	153.28 
37566	86.36 	100.48 	42.53 	144.87 	12.72 	175.33 
17696	39.68 	46.53 	19.67 	66.58 	5.86 	80.50 
60664	133.78 	156.30 	103.37 	187.20 	26.36 	262.97 
33157	81.39 	95.24 	54.63 	121.98 	15.04 	162.15 
14310	31.82 	36.90 	15.65 	53.09 	4.77 	64.60 
15151	34.76 	40.52 	17.12 	58.49 	5.03 	71.06 
17936	44.62 	51.91 	28.33 	68.63 	8.48 	87.90 
37214	95.88 	110.66 	56.59 	151.31 	17.14 	190.94 
